Date,FXY
2010-01-01,109.95999908447266
2010-02-01,111.6500015258789
2010-03-01,106.05000305175781
2010-04-01,105.55000305175781
2010-05-01,108.9800033569336
2010-06-01,112.08999633789062
2010-07-01,114.5999984741211
2010-08-01,117.83000183105469
2010-09-01,118.56999969482422
2010-10-01,122.93000030517578
2010-11-01,118.16000366210938
2010-12-01,121.75
2011-01-01,120.41999816894531
2011-02-01,120.73999786376953
2011-03-01,118.76000213623047
2011-04-01,121.69999694824219
2011-05-01,121.05999755859375
2011-06-01,122.52999877929688
2011-07-01,128.14999389648438
2011-08-01,128.77000427246094
2011-09-01,127.80000305175781
2011-10-01,126.0199966430664
2011-11-01,126.9800033569336
2011-12-01,127.93000030517578
2012-01-01,129.1300048828125
2012-02-01,121.02999877929688
2012-03-01,118.77999877929688
2012-04-01,123.16000366210938
2012-05-01,125.43000030517578
2012-06-01,122.94000244140625
2012-07-01,125.73999786376953
2012-08-01,125.41000366210938
2012-09-01,125.80000305175781
2012-10-01,122.94000244140625
2012-11-01,119.01000213623047
2012-12-01,113.02999877929688
2013-01-01,107.18000030517578
2013-02-01,105.76000213623047
2013-03-01,104.05000305175781
2013-04-01,100.45999908447266
2013-05-01,97.45999908447266
2013-06-01,98.62999725341797
2013-07-01,99.93000030517578
2013-08-01,99.62999725341797
2013-09-01,99.47000122070312
2013-10-01,99.37999725341797
2013-11-01,95.33999633789062
2013-12-01,92.76000213623047
2014-01-01,95.58000183105469
2014-02-01,95.91999816894531
2014-03-01,94.52999877929688
2014-04-01,95.44000244140625
2014-05-01,95.79000091552734
2014-06-01,96.25
2014-07-01,94.70999908447266
2014-08-01,93.61000061035156
2014-09-01,88.80000305175781
2014-10-01,86.6500015258789
2014-11-01,82.01000213623047
2014-12-01,81.20999908447266
2015-01-01,82.80999755859375
2015-02-01,81.27999877929688
2015-03-01,81.0199966430664
2015-04-01,81.37999725341797
2015-05-01,78.25
2015-06-01,79.3499984741211
2015-07-01,78.31999969482422
2015-08-01,80.04000091552734
2015-09-01,80.83000183105469
2015-10-01,80.3499984741211
2015-11-01,78.73999786376953
2015-12-01,80.62999725341797
2016-01-01,80.01000213623047
2016-02-01,85.87999725341797
2016-03-01,86.0199966430664
2016-04-01,90.93000030517578
2016-05-01,87.36000061035156
2016-06-01,93.58000183105469
2016-07-01,94.70999908447266
2016-08-01,93.3499984741211
2016-09-01,95.20999908447266
2016-10-01,92.02999877929688
2016-11-01,84.26000213623047
2016-12-01,82.5199966430664
2017-01-01,85.41000366210938
2017-02-01,85.80999755859375
2017-03-01,86.5199966430664
2017-04-01,86.38999938964844
2017-05-01,86.9000015258789
2017-06-01,85.52999877929688
2017-07-01,87.23999786376953
2017-08-01,87.43000030517578
2017-09-01,85.37000274658203
2017-10-01,84.4800033569336
2017-11-01,84.87999725341797
2017-12-01,85.13999938964844
2018-01-01,87.87999725341797
2018-02-01,89.94000244140625
2018-03-01,90.11000061035156
2018-04-01,87.6500015258789
2018-05-01,88.02999877929688
2018-06-01,86.47000122070312
2018-07-01,85.58000183105469
2018-08-01,86.08999633789062
2018-09-01,84.1500015258789
2018-10-01,84.70999908447266
2018-11-01,84.22000122070312
2018-12-01,87.11000061035156
2019-01-01,87.6500015258789
2019-02-01,85.55000305175781
2019-03-01,86.11000061035156
2019-04-01,85.5199966430664
2019-05-01,87.94999694824219
2019-06-01,88.33999633789062
2019-07-01,87.4800033569336
2019-08-01,89.55000305175781
2019-09-01,87.94999694824219
2019-10-01,88.0199966430664
2019-11-01,86.8499984741211
2019-12-01,87.43000030517578
2020-01-01,87.63999938964844
2020-02-01,87.93000030517578
2020-03-01,88.19000244140625
2020-04-01,88.30999755859375
2020-05-01,87.83000183105469
2020-06-01,87.70999908447266
2020-07-01,89.43000030517578
2020-08-01,89.30999755859375
2020-09-01,89.62000274658203
2020-10-01,90.29000091552734
2020-11-01,90.5
2020-12-01,91.45999908447266
2021-01-01,90.08000183105469
2021-02-01,88.5
2021-03-01,85.16000366210938
2021-04-01,86.19999694824219
2021-05-01,85.76000213623047
2021-06-01,84.7300033569336
2021-07-01,85.79000091552734
2021-08-01,85.5
2021-09-01,84.45999908447266
2021-10-01,82.45999908447266
2021-11-01,83.0999984741211
2021-12-01,81.48999786376953
2022-01-01,81.44000244140625
2022-02-01,81.56999969482422
2022-03-01,76.94000244140625
2022-04-01,72.16999816894531
2022-05-01,72.72000122070312
2022-06-01,68.97000122070312
2022-07-01,70.16999816894531
2022-08-01,67.30000305175781
2022-09-01,64.61000061035156
2022-10-01,62.810001373291016
2022-11-01,67.55000305175781
2022-12-01,71.0999984741211
2023-01-01,71.66000366210938
2023-02-01,68.45999908447266
2023-03-01,70.12999725341797
2023-04-01,68.3499984741211
2023-05-01,66.80999755859375
2023-06-01,64.54000091552734
2023-07-01,65.29000091552734
2023-08-01,63.91999816894531
2023-09-01,62.189998626708984
2023-10-01,61.279998779296875
2023-11-01,62.619998931884766
2023-12-01,65.80999755859375
2024-01-01,63.029998779296875
2024-02-01,61.779998779296875
2024-03-01,61.22999954223633
2024-04-01,58.70000076293945
2024-05-01,58.84000015258789
2024-06-01,57.529998779296875
2024-07-01,61.68000030517578
2024-08-01,63.279998779296875
2024-09-01,64.30000305175781
2024-10-01,60.790000915527344
2024-11-01,61.70000076293945
2024-12-01,58.619998931884766
2025-01-01,59.470001220703125
2025-02-01,61.31999969482422
2025-03-01,61.5
2025-04-01,64.54000091552734
2025-05-01,62.4900016784668
